Czas2,Czas,Pressure - leak line,Temperature - leak line,Pressure - output,Temperature - suction line,Temperature - output,Flow - leak line,Flow - output,Temp. diff,stan
2024-03-15 08:33:44+00:00,2024-03-15 08:33:44+00:00,0.14307692307692302,19.307948717948722,0.0,18.803333333333324,18.37820512820512,1.5066666666666664,-0.5325641025641028,0.5046153846153985,1
2024-03-15 08:33:45+00:00,2024-03-15 08:33:45+00:00,0.14132075471698108,19.317924528301894,0.0,18.800943396226398,18.376415094339624,1.5058490566037734,-0.526603773584906,0.5169811320754967,1
2024-03-15 08:33:46+00:00,2024-03-15 08:33:46+00:00,0.13921568627450973,19.300588235294104,0.0,18.801764705882334,18.376274509803917,1.4998039215686274,-0.5362745098039218,0.49882352941176933,1
2024-03-15 08:33:47+00:00,2024-03-15 08:33:47+00:00,0.14156862745098026,19.301568627450962,0.0,18.800196078431355,18.37333333333334,1.5098039215686276,-0.5523529411764709,0.5013725490196066,1
2024-03-15 08:33:48+00:00,2024-03-15 08:33:48+00:00,0.13936170212765953,19.304680851063832,0.0,18.803404255319133,18.375744680851067,1.5053191489361708,-0.5351063829787238,0.5012765957446987,1
2024-03-15 08:33:49+00:00,2024-03-15 08:33:49+00:00,0.13926829268292681,19.318536585365848,0.0,18.8041463414634,18.385853658536583,1.5085365853658537,-0.5236585365853658,0.5143902439024473,1
2024-03-15 08:33:50+00:00,2024-03-15 08:33:50+00:00,0.14157894736842117,19.307894736842105,0.0,18.80342105263157,18.37710526315789,1.5060526315789475,-0.5300000000000001,0.5044736842105344,1
2024-03-15 08:33:51+00:00,2024-03-15 08:33:51+00:00,0.1416666666666667,19.30083333333334,0.0,18.801944444444437,18.375277777777775,1.5055555555555555,-0.5388888888888889,0.4988888888889029,1
2024-03-15 08:33:52+00:00,2024-03-15 08:33:52+00:00,0.1403333333333334,19.321666666666662,0.0,18.804,18.383000000000006,1.5043333333333335,-0.5126666666666666,0.5176666666666634,1
2024-03-15 08:33:53+00:00,2024-03-15 08:33:53+00:00,0.14133333333333337,19.319666666666667,0.0,18.807666666666663,18.386333333333333,1.5069999999999995,-0.5306666666666666,0.512000000000004,1
2024-03-15 08:33:54+00:00,2024-03-15 08:33:54+00:00,0.14,19.31148148148148,0.0,18.799629629629635,18.372222222222224,1.5077777777777779,-0.5322222222222224,0.5118518518518442,1
2024-03-15 08:33:55+00:00,2024-03-15 08:33:55+00:00,0.1376923076923077,19.315384615384616,0.0,18.800769230769237,18.37153846153846,1.5011538461538458,-0.5330769230769229,0.5146153846153787,1
2024-03-15 08:33:56+00:00,2024-03-15 08:33:56+00:00,0.14160000000000006,19.3132,0.0732,18.804400000000005,18.3832,1.4751999999999996,-0.5244,0.5087999999999937,1
2024-03-15 08:33:57+00:00,2024-03-15 08:33:57+00:00,0.14920000000000005,19.3132,16.3744,18.804000000000006,18.5496,1.4748,-0.5039999999999999,0.5091999999999928,1
2024-03-15 08:33:58+00:00,2024-03-15 08:33:58+00:00,0.15217391304347827,19.31,20.080869565217387,18.797391304347833,18.86478260869565,1.4852173913043476,14.85782608695652,0.5126086956521654,1
2024-03-15 08:33:59+00:00,2024-03-15 08:33:59+00:00,0.14782608695652177,19.300869565217393,3.5939130434782607,18.760869565217394,18.773478260869567,1.4847826086956517,13.681304347826085,0.5399999999999991,1
